"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "Markdown", "TypeScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\louis\SiteVitrineViadex\README.md", "Markdown", 0, 0, 0, 0, 99, 0, 0, 0, 0, 49, 148
"c:\Users\louis\SiteVitrineViadex\components.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\louis\SiteVitrineViadex\eslint.config.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"c:\Users\louis\SiteVitrineViadex\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 2, 19
"c:\Users\louis\SiteVitrineViadex\package-lock.json", "JSON", 0, 7122, 0, 0, 0, 0, 0, 0, 0, 1, 7123
"c:\Users\louis\SiteVitrineViadex\package.json", "JSON", 0, 83, 0, 0, 0, 0, 0, 0, 0, 1, 84
"c:\Users\louis\SiteVitrineViadex\postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\louis\SiteVitrineViadex\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 37, 0, 0, 6, 43
"c:\Users\louis\SiteVitrineViadex\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 2, 8, 67
"c:\Users\louis\SiteVitrineViadex\src\components\ContactForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 145, 0, 0, 2, 15, 162
"c:\Users\louis\SiteVitrineViadex\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 0, 6, 89
"c:\Users\louis\SiteVitrineViadex\src\components\LoginModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 3, 6, 30
"c:\Users\louis\SiteVitrineViadex\src\components\Navigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 1, 6, 52
"c:\Users\louis\SiteVitrineViadex\src\components\ScrollToTop.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 3, 6, 19
"c:\Users\louis\SiteVitrineViadex\src\components\admin\AppointmentManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 279, 0, 0, 11, 19, 309
"c:\Users\louis\SiteVitrineViadex\src\components\admin\ContactList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 218, 0, 0, 5, 17, 240
"c:\Users\louis\SiteVitrineViadex\src\components\formation\AboutCertifIAG.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 8, 47
"c:\Users\louis\SiteVitrineViadex\src\components\formation\FormationCTA.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\louis\SiteVitrineViadex\src\components\formation\FormationHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"c:\Users\louis\SiteVitrineViadex\src\components\formation\FormationIntro.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"c:\Users\louis\SiteVitrineViadex\src\components\formation\FormationPartner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 8, 33
"c:\Users\louis\SiteVitrineViadex\src\components\formation\ObjectivesAndBenefits.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 7, 60
"c:\Users\louis\SiteVitrineViadex\src\components\formation\ProcessAndTarget.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 10, 59
